num_artists,num_playlists,streams,bpm,bpm_category,scale,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness,is_hyper_popular
2,398,78139948,80,Low,Minor,33,51,59,76,0,44,6,False
1,4204,777765388,120,Medium,Major,60,11,33,90,0,8,5,False
3,3423,775542072,170,High,Minor,64,14,70,9,0,9,8,False
2,407,77377503,134,Medium,Minor,67,11,76,8,47,30,7,False
1,246,77337771,127,Medium,Minor,60,40,89,9,0,60,6,False
1,266,77309611,158,Medium,Major,54,50,40,61,0,10,6,False
2,385,77233241,117,Medium,Minor,77,69,58,39,0,26,5,False
1,14994,769213520,140,Medium,Major,70,85,41,71,0,45,5,False
2,351,76910644,110,Low,Minor,76,26,70,1,0,41,6,False
3,2308,76831876,138,Medium,Minor,57,71,82,19,0,15,29,False
1,349,76767396,105,Low,Major,80,69,78,28,0,11,14,False
2,4890,759208783,93,Low,Major,74,59,87,3,0,8,5,False
2,6111,756907987,95,Low,Major,76,96,70,18,0,33,4,False
2,918,75476209,180,High,Minor,63,45,64,34,0,9,8,False
1,4511,751134527,94,Low,Minor,51,14,59,65,18,25,3,False
1,1014,74601456,86,Low,Minor,28,13,41,50,0,19,3,False
1,7461,743693613,115,Medium,Major,71,90,73,30,0,11,5,False
1,10326,741301563,119,Medium,Major,74,78,37,84,0,6,3,False
1,827,73981293,119,Medium,Minor,51,51,66,67,0,9,23,False
2,573,73513683,92,Low,Major,80,81,67,4,0,8,6,False
1,5669,726837877,93,Low,Minor,74,53,73,61,0,13,4,False
1,4427,726434358,202,High,Major,34,25,51,69,0,18,4,False
1,3202,726307468,170,High,Major,56,53,64,11,0,45,6,False
2,3090,725980112,148,Medium,Minor,67,83,76,48,0,8,3,False
1,9021,723894473,109,Low,Minor,84,72,74,10,0,34,7,False
1,6858,723043854,130,Medium,Major,57,24,37,11,18,16,3,False
2,5724,721975598,122,Medium,Minor,78,50,63,27,0,9,5,False
2,8087,720825549,102,Low,Major,89,77,82,3,0,17,11,False
3,3107,720434240,101,Low,Major,88,72,59,62,0,9,3,False
2,6809,716591492,94,Low,Minor,84,90,70,9,0,14,8,False
2,269,71573339,108,Low,Minor,84,55,47,26,0,20,64,False
1,2939,71423324,98,Low,Minor,76,79,81,18,0,6,34,False
2,486,71095708,114,Medium,Minor,62,25,44,51,33,14,3,False
1,254,71014967,145,Medium,Major,41,65,88,0,0,26,5,False
2,161,71007139,135,Medium,Minor,80,85,74,62,0,8,9,False
2,4188,705469769,114,Medium,Major,32,17,74,14,0,17,3,False
1,6080,704171068,105,Low,Minor,54,59,83,0,44,20,4,False
1,19806,703301727,149,Medium,Major,37,28,66,14,0,9,5,False
2,332,70106975,120,Medium,Major,78,5,30,21,0,13,5,False
1,242,70069745,128,Medium,Minor,82,61,59,30,0,12,4,False
1,8084,698086140,109,Low,Minor,66,16,57,10,1,12,3,False
1,8737,694525298,107,Low,Major,91,32,56,3,0,11,10,False
1,5140,690104769,105,Low,Major,72,33,51,48,0,9,3,False
